#timestamp x y z qx qy qz qw
390.300020 7.710598 6.111787 22.677803 0.003277 -0.534254 0.142017 0.833303
391.333354 6.748509 6.194607 23.069149 0.002918 -0.534725 0.141992 0.833006
392.350020 5.800572 6.278501 23.456255 0.002697 -0.535238 0.142104 0.832658
393.366687 4.860629 6.356788 23.840029 0.002464 -0.535681 0.141826 0.832421
394.383354 3.918521 6.439009 24.216003 0.002281 -0.535860 0.141808 0.832310
395.400021 2.933140 6.491098 24.484207 0.002611 -0.599787 0.157261 0.784549
396.416687 1.943379 6.520157 24.718693 0.001823 -0.600384 0.156442 0.784259
397.433354 0.958145 6.511391 24.933041 -0.001007 -0.600026 0.153634 0.785089
398.433354 -0.035124 6.548302 25.034473 0.001440 -0.766094 0.196236 0.612037
399.450021 -0.904352 6.408747 24.524895 -0.000873 0.852288 -0.217016 -0.475929
400.466688 -1.750924 6.266878 23.984837 -0.000385 0.852523 -0.216987 -0.475522
401.483354 -2.487320 6.097297 23.321415 -0.001078 0.920201 -0.233821 -0.313936
402.500021 -3.089514 5.891395 22.533400 -0.000835 0.920368 -0.233741 -0.313508
403.516688 -3.696703 5.686985 21.739079 -0.000692 0.920601 -0.233671 -0.312877
404.516688 -4.285330 5.486619 20.961016 -0.000513 0.920678 -0.233719 -0.312615
405.533354 -4.887315 5.281311 20.167267 -0.000007 0.920856 -0.233746 -0.312069
406.533355 -5.372397 5.047105 19.285534 -0.000431 0.967635 -0.246251 -0.055167
407.550021 -5.176224 4.795994 18.320471 -0.001135 0.962645 -0.243895 0.117597
408.566688 -4.935597 4.546269 17.351389 -0.001428 0.962853 -0.243810 0.116052
